Transect,Start_date,Location,Sample,Sample_ID,Type,Status_Day1,Status_Day2,Status_Day3,Status_Day4,Ants,No_pin,Comments,Days_survived
T1,29/12/2023,Centenial Park,S01,T1S01,S,1,1,1,1,0,0,,4
T1,29/12/2023,Centenial Park,S02,T1S02,C,1,1,1,1,0,0,,4
T1,29/12/2023,Centenial Park,S03,T1S03,S,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S04,T1S04,C,1,1,1,1,0,0,,4
T1,29/12/2023,Centenial Park,S05,T1S05,C,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S06,T1S06,S,0,0,0,0,0,0,,0
T1,29/12/2023,Centenial Park,S07,T1S07,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S08,T1S08,C,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S09,T1S09,R,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S10,T1S10,R,0,0,0,0,0,0,,0
T1,29/12/2023,Centenial Park,S11,T1S11,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S12,T1S12,S,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S13,T1S13,R,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S14,T1S14,D,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S15,T1S15,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S16,T1S16,R,1,1,0,0,1,0,,2
T1,29/12/2023,Centenial Park,S17,T1S17,S,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S18,T1S18,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S19,T1S19,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S20,T1S20,S,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S21,T1S21,D,1,1,1,0,0,0,,3
T1,29/12/2023,Centenial Park,S22,T1S22,R,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S23,T1S23,C,0,0,0,0,0,0,,0
T1,29/12/2023,Centenial Park,S24,T1S24,S,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S25,T1S25,S,0,0,0,0,0,0,,0
T1,29/12/2023,Centenial Park,S26,T1S26,C,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S27,T1S27,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S28,T1S28,C,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S29,T1S29,D,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S30,T1S30,D,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S31,T1S31,R,1,1,0,0,0,0,,2
T1,29/12/2023,Centenial Park,S32,T1S32,R,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S33,T1S33,S,1,1,1,0,1,0,,3
T1,29/12/2023,Centenial Park,S34,T1S34,R,1,0,0,0,0,0,,1
T1,29/12/2023,Centenial Park,S35,T1S35,C,1,0,0,0,0,0,,1
